character	token	ferquency(per million)	total coverage rate(%)
的	76938354	40529.65053 	4.05297 
一	35278860	18584.22740 	5.91139 
了	34812434	18338.52313 	7.74524 
是	31422712	16552.88253 	9.40053 
不	29858097	15728.67333 	10.97340 
我	29569261	15576.52006 	12.53105 
在	19195987	10112.07810 	13.54226 
人	18435295	9711.36013 	14.51339 
有	17847013	9401.46445 	15.45354 
这	17648808	9297.05385 	16.38324 
他	17596473	9269.48478 	17.31019 
来	14837007	7815.85097 	18.09178 
个	14789406	7790.77567 	18.87085 
你	14221925	7491.83756 	19.62004 
说	12000460	6321.61236 	20.25220 
上	11918291	6278.32731 	20.88003 
到	11505436	6060.84321 	21.48612 
就	11305679	5955.61505 	22.08168 
着	11165468	5881.75458 	22.66985 
大	10828984	5704.50126 	23.24030 
们	10741873	5658.61285 	23.80616 
道	10625536	5597.32875 	24.36590 
那	9929703	5230.77726 	24.88898 
么	9727134	5124.06779 	25.40138 
也	9508702	5009.00200 	25.90228 
地	8804040	4637.79956 	26.36606 
子	8641973	4552.42577 	26.82131 
下	8550882	4504.44078 	27.27175 
出	8294943	4369.61702 	27.70871 
时	8207119	4323.35302 	28.14105 
看	8030267	4230.19077 	28.56407 
要	7944606	4185.06620 	28.98257 
她	7870163	4145.85105 	29.39716 
中	7680869	4046.13460 	29.80177 
没	7560391	3982.66910 	30.20004 
然	7339938	3866.53868 	30.58669 
里	7329328	3860.94954 	30.97279 
为	7309300	3850.39917 	31.35783 
过	7307184	3849.28450 	31.74275 
自	7261699	3825.32388 	32.12529 
好	7259684	3824.26241 	32.50771 
得	7186260	3785.58406 	32.88627 
去	7182400	3783.55068 	33.26463 
可	7069176	3723.90645 	33.63702 
会	6824927	3595.24076 	33.99654 
天	6797499	3580.79221 	34.35462 
还	6776145	3569.54334 	34.71157 
心	6555833	3453.48720 	35.05692 
后	6544446	3447.48874 	35.40167 
以	6523162	3436.27674 	35.74530 
小	6383822	3362.87510 	36.08159 
都	6342930	3341.33398 	36.41572 
和	6252031	3293.45012 	36.74507 
对	6195038	3263.42730 	37.07141 
想	6140550	3234.72407 	37.39488 
能	5933639	3125.72732 	37.70745 
起	5819918	3065.82128 	38.01404 
之	5373763	2830.79537 	38.29712 
手	5076179	2674.03382 	38.56452 
