d_	的
f_	一
j_	是
c_	不
fu	了
g_	在
cp	我
s_	人
k_	他
w_	这
gm	有
sk	个
x_	大
df	上
i_	中
jv	来
b_	地
z_	和
v_	说
o_	为
kb	们
ck	到
kr	你
wo	就
h_	也
hs	以
u_	国
p_	那
q_	要
jl	时
iz	出
ig	着
zj	可
vc	道
do	之
wl	对
sp	会
cj	自
ua	而
jj	得
fd	下
n_	能
l_	过
dh	生
y_	子
fg	于
lg	年
of	后
iw	发
r_	都
dn	里
hq	没
cl	还
fo	所
bn	去
pg	看
fi	事
si	如
ql	用
ot	小
ke	作
xx	多
fj	行
iv	只
sy	好
up	成
e_	家
fx	天
sh	她
m_	方
ml	然
os	当
ng	心
qj	起
zi	种
a_	想
rw	经
gu	现
kj	但
hb	法
ue	无
zf	同
cn	么
bl	进
he	学
hf	面
mv	其
vm	前
nt	已
og	主
ss	从
pa	动
vk	分
pe	把
fw	开
ey	军
wi	又
am	两
af	本
ux	因
ek	定
yi	部
fp	与
nx	将
je	日
xk	长
gd	理
qn	三
lh	些
el	实
ai	样
gl	十
an	意
ei	知
lhs_	此
zu	第
au	力
jt	很
fl	正
wn	高
pc	手
kg	什
lc	身
oe	被
eh	它
jm	明
ri	老
rj	者
vn	公
uw	见
ap	机
cz	向
bi	问
jq	最
kf	使
sg	全
di	点
nz	情
xd	外
ns	民
vw	并
dii_	战
vx	关
nv	工
ui	回
zb	等
ag	相
rl	二
hd	重
is	由
lx	头
mm	声
nd	性
gh	应
bj	间
vv	话
wm	文
rt	给
ix	美
oq	业
ls	物
gg	真
ka	体
ii	或
flr_	政
ps	几
zs	内
zk	利
pu	打
qo	走
ya	新
ky	位
qp	西
gz	再
yo	产
aiq_	加
md	月
bnw_	却
la	先
lu	制
lb	特
sa	果
lo	东
dj	神
ah	儿
gc	才
bo	门
xo	太
t_	合
km	信
zo	表
od	原
sm	女
to	更
jc	己
xi	名
yq	立
hh	比
kn	代
yt	四
mvo_	斯
kc	任
lf	次
xp	世
kt	便
io	听
pj	提
kq	做
hl	海
hg	水
ry	教
gt	眼
kh	化
nq	通
uf	感
gi	王
qy	各
iq	口
fq	气
ia	别
oc	少
jd	处
lv	平
xu	常
rq	解
kz	何
py	接
gy	目
ow	反
uy	变
zc	笑
vi	总
xj	入
vs	认
ja	条
es	安
tk	金
kd	及
gx	度
vd	让
ds	山
xh	马
te	受
hv	活
rm	结
ms	数
ggf_	直
nc	必
dy	白
ph	指
ox	张
pw	报
vh	论
id	员
oo	义
mr	放
jp	电
cy	至
ji	五
ch	系
wv	难
ti	命
uv	建
ro	尔
kl	件
qh	死
ki	保
er	完
vl	许
jk	题
bp	场
zn	空
vg	计
en	怎
sj	光
ze	管
dm	非
jg	德
oi	强
jf	量
le	决
fwb_	形
kw	像
mvm_	期
lfd_	资
ts	队
hz	清
jau_	务
iu	嗯
rp	统
pp	书
uu	市
pf	司
kfu_	师
ko	住
tw	即
qa	克
fe	带
ib	飞
gzi_	南
eo	区
ay	李
dk	则
heu_	觉
co	交
db	社
tp	今
mvb_	基
nh	北
mx	展
krp_	传
yl	连
ih	叫
hn	治
uq	路
fk	万
li	告
zp	科
im	呢
sn	思
xl	达
vj	记
yr	转
xm	望
al	边
ne	快
po	风
re	色
vy	该
ssk_	界
wp	象
aw	权
pyq_	拉
vq	设
rh	且
qw	取
lr	干
hr	收
ll	步
tn	领
aa	林
at	根
jo	往
yaj_	亲
ak	极
fh	求
jx	未
lq	每
zig_	程
nn	式
ov	兵
pm	据
mxi_	类
me	言
su	规
ie	吧
ir	品
qr	确
wu	观
bu	城
ij	虽
cs	失
aq	格
ra	远
av	办
rah_	元
pl	运
tnd_	令
xv	共
khs_	似
lvh_	准
vz	请
fn	武
mf	士
jr	改
wz	英
ao	术
yf	车
qq	石
hev_	深
qv	联
ru	争
ixh_	吗
ter_	院
yw	轻
yv	火
yx	罗
fdy_	百
sv	夫
uo	离
wk	花
ol	近
lk	切
viv_	识
lil_	造
rr	组
hp	流
zg	算
guw_	布
dl	导
jgl_	早
pi	找
kk	候
hw	满
mw	服
eu	官
ur	整
teg_	爱
eyd_	字
pb	持
ut	跟
zl	突
jw	影
ho	消
tg	随
il	吃
yz	商
vf	证
vsg_	单
vo	议
qu	越
gk	存
pz	击
mz	精
ha	济
sni_	始
ni	台
uc	黑
vzb_	调
tu	需
bh	支
oa	杀
ug	团
na	功
gv	具
khg_	华
mt	脸
gkl_	府
va	集
zbi_	周
zm	青
rn	红
ww	双
dp	九
vyc_	八
nb	片
vp	半
ep	容
vu	曾
it	啊
tz	阿
wh	落
joq_	显
tsz_	除
mo	尽
xa	党
jki_	照
sss_	众
js	备
lj	复
tl	陈
mp	断
ks	价
rs	约
ef	写
sd	包
rk	级
iau_	另
xf	病
ogd_	质
zr	称
kck_	倒
ca	六
hnv_	江
rre_	绝
vr	敌
bx	黄
pbh_	技
gj	朝
hoo_	派
rf	线
yd	站
zd	究
nm	装
foq_	亚
vcj_	首
zok_	刚
dd	示
du	视
lia_	况
bv	增
vyy_	谈
nw	惊
qm	古
ios_	史
vvh_	谁
ok	引
bk	须
ln	七
cng_	息
qf	研
td	际
rlr_	器
jsb_	易
fs	留
pv	推
ssb_	坐
fm	房
gp	广
hog_	注
aj	查
vji_	语
tpn_	念
wg	若
xz	奇
kwh_	紧
sl	企
ogu_	希
zsm_	委
ic	响
if	号
nxb_	参
pt	势
oau_	历
th	剑
nr	攻
lt	冷
pq	投
ip	哪
eor_	农
rpo_	专
uj	图
rfp_	考
lal_	选
rjl_	终
yp	微
dg	皇
bm	土
mpi_	局
jdh_	星
uz	足
wkg_	刘
mvp_	甚
fy	严
ee	医
sau_	男
we	营
cv	乎
kwi_	仅
vos_	父
tip_	拿
yy	孩
zt	答
ud	费
ad	标
kor_	依
hvy_	兴
kqo_	低
hc	千
kv	仍
rsn_	急
pfk_	护
aah_	竟
ma	某
yc	较
tm	防
qk	列
vb	讲
qe	破
eq	客
mlh_	施
qry_	故
cb	血
wwj_	节
pd	云
jh	龙
cf	钱
wa	苏
qt	母
kla_	伤
hvp_	举
mle_	族
pes_	按
rv	维
kkj_	修
ye	帝
hzj_	河
ufs_	威
ew	巴
ik	划
cr	致
esa_	案
go	革
gq	底
vxl_	送
lik_	冲
ar	音
xon_	态
tx	够
pfq_	段
as	构
sc	群
lp	船
zdj_	责
wq	苦
agl_	章
ju	律
odo_	愿
uqh_	围
wot_	京
or	衣
hi	喜
ljw_	独
cor_	效
pfo_	斗
rsl_	细
ndy_	怕
mn	志
mg	米
jz	晚
pty_	热
nk	项
mpf_	料
kqk_	例
syv_	灵
enc_	密
ez	害
kx	供
mc	属
xt	验
ba	境
ou	毛
lqi_	般
mq	居
rmp_	继
cx	错
hep_	沉
ta	采
tue_	既
ev	察
ci	否
phh_	批
mu	脑
uk	夜
mqi_	股
ul	速
rjc_	纪
rg	续
kmr_	假
ztu_	帮
no	乐
tpz_	陆
fwk_	型
tlt_	退
gw	友
cc	铁
hwi_	汉
jar_	暗
nl	状
gn	左
tq	句
tsl_	雷
zoo_	网
ub	率
kgg_	值
voj_	普
phq_	承
kwu_	停
vnn_	试
ovs_	弹
ld	止
qi	职
wr	药
roe_	久
nf	印
wf	卫
rau_	助
xpc_	掌
riv_	织
tj	阳
jb	待
okg_	初
cu	追
ajf_	木
iti_	哈
kro_	您
mk	预
yk	刻
sw	创
voo_	诉
zbj_	简
llw_	射
tt	限
gf	球
in	差
awl_	树
ac	校
vqn_	兰
nwb_	怪
ty	阵
dw	异
ed	宗
hem_	波
pmd_	育
hdm_	激
pjf_	担
fik_	顿
hm	游
pah_	充
ct	银
vlt_	适
ocg_	省
qmd_	胡
oz	食
wt	警
zh	素
mh	尼
pdm_	排
rd	负
nhm_	背
sb	忽
ht	酒
zy	穿
dfi_	福
vuv_	弟
nci_	怀
wfy_	欢
gci_	环
pk	招
awj_	模
mdh_	胜
xn	痛
fz	习
tth_	险
dgc_	财
hbk_	益
eg	宝
mb	脚
hen_	疑
vpv_	乱
qlr_	赶
kwb_	坚
wll_	获
wea_	劳
pey_	挥
pqr_	敢
yg	置
giq_	右
ob	压
zje_	香
mpd_	层
sq	略
zmr_	静
alw_	村
whw_	范
hod_	源
fis_	副
jjv_	州
rz	纳
dx	岁
ydm_	罪
sz	余
bq	闻
diq_	占
goe_	玉
zz	哥
apb_	杨
nxc_	忙
iah_	兄
elw_	守
us	跑
aol_	述
gs	座
slk_	田
ptu_	摇
qki_	超
hef_	演
em	皮
ijs_	喝
plx_	买
ku	佛
ec	室
rql_	角
dfd_	卡
bb	封
za	策
be	块
efi_	富
vpk_	判
tjc_	配
sqm_	姑
kgh_	优
jfl_	征
ivi_	善
kgp_	刀
so	娘
tjg_	降
fon_	恶
et	宣
nj	慢
ziv_	积
