a	在
ae	四
ai	用
ao	起 走
ari	世
au	人
auu	个 从 全
auw	会
aw	有 十 几
awi	才
aww	真 直
b	对
br	能
bri	通
bu	又
c	来
co	合
cu	然 月
d	的
de	就 高 白
di	些
die	此
dr	行 长
dre	同
dru	内
dw	了 西 目
dwe	要 眼
f	上
fe	说 老 马
fei	教 论
feo	都 者
feu	话 认
fer	让
fi	之
fii	解
fo	自
fr	小 当
fri	点 少
friw	战
frr	当
frru	度
fru	应
fw	得
fwe	很
fwi	或
fwo	更
fwr	东
g	出
ge	如 好 女
gee	家 它 军 安
gei	好
geu	定
gew	她
gewi	实
gi	无
go	而
gr	发
gu	现 王
guo	理
gur	再
gw	头
gww	次
h	没
hi	民
ho	方
hoe	受
hoi	放
hu	心 水
hue	学
huee	海
hui	知 必
huu	法 性 活
huuu	情
hw	动
j	他
ji	部 工 立
jir	新 产
jo	里 们
joe	分 化 何
joei	使
joi	你 作 关 位
joio	任
joiu	总
joo	道 代
jooe	但
jor	公 并
jore	体
jori	做
jou	过 信
joue	前
jow	什
jowo	便
ju	生
jue	变
k	不
ke	年
kee	感
kei	成
ki	中 只 身 见 口
kie	别
kiei	数
kio	只 听
kir	员
kiu	还
ko	两
koo	重
kr	到
ku	看 手
kue	指
kui	打
kuie	接
kuiu	报
kuo	提
kur	把
kw	也
l	一
le	下
lei	事 天 正
leie	与
leii	政
ler	开
lew	于
li	所
lo	进
lou	声
lr	儿
lu	平
m	和
me	由
mi	山
mo	其 己
moi	物
moie	制
moo	斯
mor	先
mou	特
mu	种
mue	利
mur	表
mw	处
mwr	条
n	为
ni	张
no	常
nr	主
nro	义
p	地
pu	第
pui	笑
pur	却
puu	等
q	子
qr	问 门
qu	去
quo	间
s	我
se	可 三 力
sei	加
si	么
sir	向
sr	将
sru	意
su	业
sw	面 及
swo	神
t	着
to	美
tr	想 金
tre	本
tro	样
trw	机 相
tw	经
two	给
twoi	结
v	是
ve	以
vee	比
vo	时 日
voe	最
vou	明
vw	各
x	这
xe	多
xei	名
xer	外
xi	那
xo	文
y	大
yi	太
yo	气
yr	被
yw	已
z	后
ze	国
zei	因 回
zer	果
zo	二
zi	入
zr	原
zru	反
