aa;	竟
ab;	横
ac;	杯
ad;	柏
ae;	柜
af;	柳
ag;	章
ah;	楷
ai;	加
aj;	木
ak;	剂
al;	村
am;	楼
an;	桶
ao;	述
ap;	杨
aq;	枯
ar;	枚
as;	枪
at;	检
au;	杭
av;	松
aw;	树
ax;	槿
ay;	核
az;	柯
ba;	闲
bb;	墙
bc;	埠
bd;	盐
be;	坡
bf;	闩
bg;	填
bh;	阔
bi;	幸
bj;	坦
bk;	阀
bl;	寺
bm;	堪
bn;	却
bo;	髦
bp;	幻
bq;	阁
br;	阎
bs;	均
bt;	埂
bu;	闹
bv;	堆
bw;	坟
bx;	闯
by;	培
bz;	髯
ca;	镜
cb;	丢
cc;	铢
cd;	钻
ce;	钜
cf;	钦
cg;	针
ch;	锤
ci;	钟
cj;	朱
ck;	钊
cl;	延
cm;	释
cn;	息
co;	效
cp;	鹅
cq;	甭
cr;	铮
cs;	鼻
ct;	铃
cu;	币
cv;	锐
cw;	钗
cx;	乔
cy;	链
cz;	奥
da;	嶂
db;	幽
dc;	贬
dd;	贴
de;	贮
df;	福
dg;	财
dh;	泉
di;	战
dj;	桌
dk;	颐
dl;	迫
dm;	野
dn;	悲
do;	岸
dp;	礼
dq;	赂
dr;	祖
ds;	购
dt;	祁
du;	巳
dv;	赚
dw;	斐
dx;	账
dy;	辈
dz;	岗
ea;	匹
eb;	塞
ec;	宅
ed;	寂
ee;	巨
ef;	富
eg;	宏
eh;	羽
ei;	鱼
ej;	鲁
ek;	颇
el;	守
em;	鳞
en;	密
eo;	农
ep;	冗
eq;	额
er;	宜
es;	案
et;	鲫
eu;	宁
ev;	罕
ew;	宽
ex;	宛
ey;	字
ez;	割
fa;	兀
fb;	耕
fc;	饿
fd;	百
fe;	馆
ff;	饮
fg;	髓
fh;	救
fi;	顿
fj;	遍
fk;	户
fl;	政
fm;	丽
fn;	瓦
fo;	亚
fp;	饲
fq;	骷
fr;	曹
fs;	互
ft;	馁
fu;	妻
fv;	雇
fw;	形
fx;	吞
fy;	灭
fz;	丙
ga;	勒
gb;	鞋
gc;	环
gd;	店
ge;	勃
gf;	庐
gg;	直
gh;	睡
gi;	右
gj;	韩
gk;	府
gl;	瓒
gm;	序
gn;	雄
go;	玉
gp;	卖
gq;	瑚
gr;	睁
gs;	康
gt;	瞬
gu;	布
gv;	瞧
gw;	弄
gx;	席
gy;	库
gz;	南
ha;	嘉
hb;	益
hc;	泛
hd;	激
he;	觉
hf;	汽
hg;	泪
hh;	毕
hi;	洋
hj;	温
hk;	渊
hl;	洗
hm;	泥
hn;	江
ho;	派
hp;	沿
hq;	湖
hr;	污
hs;	潜
ht;	浮
hu;	津
hv;	兴
hw;	汉
hx;	洪
hy;	淡
hz;	河
ia;	另
ib;	盖
ic;	呼
id;	羊
ie;	戈
if;	吴
ig;	叶
ih;	嘻
ii;	惑
ij;	喝
ik;	吸
il;	嘴
im;	嘱
in;	唉
io;	史
ip;	啦
iq;	咕
ir;	唤
is;	喂
it;	哈
iu;	喊
iv;	善
iw;	叹
ix;	吗
iy;	吼
